filepath,filename,Image DateTime,EXIF DateTimeOriginal,EXIF DateTimeDigitized,Date Taken
IMG_1376.JPG,IMG_1376.JPG,2006:08:13 14:35:27,2006:08:13 14:35:27,2006:08:13 14:35:27,2006-08-13 14:35:27
IMG_1377.JPG,IMG_1377.JPG,2006:08:13 14:35:33,2006:08:13 14:35:33,2006:08:13 14:35:33,2006-08-13 14:35:33
IMG_1378.JPG,IMG_1378.JPG,2006:08:13 14:35:58,2006:08:13 14:35:58,2006:08:13 14:35:58,2006-08-13 14:35:58
IMG_1379.JPG,IMG_1379.JPG,2006:08:13 14:36:05,2006:08:13 14:36:05,2006:08:13 14:36:05,2006-08-13 14:36:05
IMG_1380.JPG,IMG_1380.JPG,2006:08:13 14:36:41,2006:08:13 14:36:41,2006:08:13 14:36:41,2006-08-13 14:36:41
IMG_1381.JPG,IMG_1381.JPG,2006:08:13 14:36:52,2006:08:13 14:36:52,2006:08:13 14:36:52,2006-08-13 14:36:52
IMG_1382.JPG,IMG_1382.JPG,2006:08:13 14:36:59,2006:08:13 14:36:59,2006:08:13 14:36:59,2006-08-13 14:36:59
IMG_1383.JPG,IMG_1383.JPG,2006:08:13 14:37:20,2006:08:13 14:37:20,2006:08:13 14:37:20,2006-08-13 14:37:20
IMG_1384.JPG,IMG_1384.JPG,2006:08:13 14:37:28,2006:08:13 14:37:28,2006:08:13 14:37:28,2006-08-13 14:37:28
IMG_1385.JPG,IMG_1385.JPG,2006:08:13 14:38:30,2006:08:13 14:38:30,2006:08:13 14:38:30,2006-08-13 14:38:30
IMG_1386.JPG,IMG_1386.JPG,2006:08:13 14:59:49,2006:08:13 14:59:49,2006:08:13 14:59:49,2006-08-13 14:59:49
IMG_1387.JPG,IMG_1387.JPG,2006:08:13 15:01:23,2006:08:13 15:01:23,2006:08:13 15:01:23,2006-08-13 15:01:23
IMG_1388.JPG,IMG_1388.JPG,2006:08:13 15:01:31,2006:08:13 15:01:31,2006:08:13 15:01:31,2006-08-13 15:01:31
IMG_1389.JPG,IMG_1389.JPG,2006:08:13 16:36:16,2006:08:13 16:36:16,2006:08:13 16:36:16,2006-08-13 16:36:16
IMG_1390.JPG,IMG_1390.JPG,2006:08:13 16:36:31,2006:08:13 16:36:31,2006:08:13 16:36:31,2006-08-13 16:36:31
IMG_1391.JPG,IMG_1391.JPG,2006:08:13 16:36:48,2006:08:13 16:36:48,2006:08:13 16:36:48,2006-08-13 16:36:48
IMG_1392.JPG,IMG_1392.JPG,2006:08:13 16:36:59,2006:08:13 16:36:59,2006:08:13 16:36:59,2006-08-13 16:36:59
IMG_1393.JPG,IMG_1393.JPG,2006:08:13 16:44:57,2006:08:13 16:44:57,2006:08:13 16:44:57,2006-08-13 16:44:57
IMG_1394.JPG,IMG_1394.JPG,2006:08:13 16:45:17,2006:08:13 16:45:17,2006:08:13 16:45:17,2006-08-13 16:45:17
IMG_1395.JPG,IMG_1395.JPG,2006:08:13 16:45:39,2006:08:13 16:45:39,2006:08:13 16:45:39,2006-08-13 16:45:39
IMG_1396.JPG,IMG_1396.JPG,2006:08:13 16:46:17,2006:08:13 16:46:17,2006:08:13 16:46:17,2006-08-13 16:46:17
IMG_1397.JPG,IMG_1397.JPG,2006:08:13 16:46:23,2006:08:13 16:46:23,2006:08:13 16:46:23,2006-08-13 16:46:23
IMG_1398.JPG,IMG_1398.JPG,2006:08:13 16:46:53,2006:08:13 16:46:53,2006:08:13 16:46:53,2006-08-13 16:46:53
IMG_1399.JPG,IMG_1399.JPG,2006:08:13 16:47:14,2006:08:13 16:47:14,2006:08:13 16:47:14,2006-08-13 16:47:14
IMG_1400.JPG,IMG_1400.JPG,2006:08:13 16:47:22,2006:08:13 16:47:22,2006:08:13 16:47:22,2006-08-13 16:47:22
IMG_1401.JPG,IMG_1401.JPG,2006:08:13 16:47:29,2006:08:13 16:47:29,2006:08:13 16:47:29,2006-08-13 16:47:29
IMG_1402.JPG,IMG_1402.JPG,2006:08:13 16:47:36,2006:08:13 16:47:36,2006:08:13 16:47:36,2006-08-13 16:47:36
IMG_1404.JPG,IMG_1404.JPG,2006:08:13 16:53:28,2006:08:13 16:53:28,2006:08:13 16:53:28,2006-08-13 16:53:28
IMG_1405.JPG,IMG_1405.JPG,2006:08:13 16:53:32,2006:08:13 16:53:32,2006:08:13 16:53:32,2006-08-13 16:53:32
IMG_1406.JPG,IMG_1406.JPG,2006:08:13 16:53:54,2006:08:13 16:53:54,2006:08:13 16:53:54,2006-08-13 16:53:54
